function,qualname,url,signature,summary
all_node_cuts,networkx.algorithms.connectivity.kcutsets.all_node_cuts,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.connectivity.kcutsets.all_node_cuts.html,"all_node_cuts ( G , k = None , flow_func = None ) [source] # Returns all minimum k cutsets of an undirected graph G. This implementation is based on Kanevsky’s algorithm [1] for finding all
minimum-size node cut-sets of an undirected graph G; ie the set (or sets)
of nodes of cardinality equal to the node connectivity of G. Thus if
removed, would break G into two or more connected components. Parameters : G NetworkX graph Undirected graph k Integer Node connectivity of the input graph. If k is None, then it is
computed. Default value: None. flow_func function Function to perform the underlying flow computations. Default value is edmonds_karp() . This function performs
better in sparse graphs with right tailed degree distributions. shortest_augmenting_path() will
perform better in denser graphs. Returns : cuts a generator of node cutsets Each node cutset has cardinality equal to the node connectivity of
the input graph. See also node_connectivity edmonds_karp shortest_augmenting_path Notes This implementation is based on the sequential algorithm for finding all
minimum-size separating vertex sets in a graph [1] . The main idea is to
compute minimum cuts using local maximum flow computations among a set
of nodes of highest degree and all other non-adjacent nodes in the Graph.
Once we find a minimum cut, we add an edge between the high degree
node and the target node of the local maximum flow computation to make
sure that we will not find that minimum cut again. References [ 1 ] ( 1 , 2 ) Kanevsky, A. (1993). Finding all minimum-size separating vertex
sets in a graph. Networks 23(6), 533–541. http://onlinelibrary.wiley.com/doi/10.1002/net.3230230604/abstract Examples >>> # A two-dimensional grid graph has 4 cutsets of cardinality 2 >>> G = nx . grid_2d_graph ( 5 , 5 ) >>> cutsets = list ( nx . all_node_cuts ( G )) >>> len ( cutsets ) 4 >>> all ( 2 == len ( cutset ) for cutset in cutsets ) True >>> nx . node_connectivity ( G ) 2",Returns all minimum k cutsets of an undirected graph G.
dominating_set,networkx.algorithms.dominating.dominating_set,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.dominating.dominating_set.html,"dominating_set ( G , start_with = None ) [source] # Finds a dominating set for the graph G. A dominating set for a graph with node set V is a subset D of V such that every node not in D is adjacent to at least one
member of D [1] . Parameters : G NetworkX graph start_with node (default=None) Node to use as a starting point for the algorithm. Returns : D set A dominating set for G. See also is_dominating_set Notes This function is an implementation of algorithm 7 in [2] which
finds some dominating set, not necessarily the smallest one. References [ 1 ] https://en.wikipedia.org/wiki/Dominating_set [ 2 ] Abdol-Hossein Esfahanian. Connectivity Algorithms. http://www.cse.msu.edu/~cse835/Papers/Graph_connectivity_revised.pdf",Finds a dominating set for the graph G.
k_core,networkx.algorithms.core.k_core,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.core.k_core.html,"k_core ( G , k = None , core_number = None ) [source] # Returns the k-core of G. A k-core is a maximal subgraph that contains nodes of degree k or more. Parameters : G NetworkX graph A graph or directed graph k int, optional The order of the core. If not specified return the main core. core_number dictionary, optional Precomputed core numbers for the graph G. Returns : G NetworkX graph The k-core subgraph Raises : NetworkXNotImplemented The k-core is not defined for multigraphs or graphs with self loops. See also core_number Notes The main core is the core with k as the largest core_number. For directed graphs the node degree is defined to be the
in-degree + out-degree. Graph, node, and edge attributes are copied to the subgraph. References [ 1 ] An O(m) Algorithm for Cores Decomposition of Networks
Vladimir Batagelj and Matjaz Zaversnik,  2003. https://arxiv.org/abs/cs.DS/0310049 Examples >>> degrees = [ 0 , 1 , 2 , 2 , 2 , 2 , 3 ] >>> H = nx . havel_hakimi_graph ( degrees ) >>> H . degree DegreeView({0: 1, 1: 2, 2: 2, 3: 2, 4: 2, 5: 3, 6: 0}) >>> nx . k_core ( H ) . nodes NodeView((1, 2, 3, 5))",Returns the k-core of G.
barycenter,networkx.algorithms.distance_measures.barycenter,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.distance_measures.barycenter.html,"barycenter ( G , weight = None , attr = None , sp = None ) [source] # Calculate barycenter of a connected graph, optionally with edge weights. The barycenter a connected graph \(G\) is the subgraph induced by the set of its nodes \(v\) minimizing the objective function \[\sum_{u \in V(G)} d_G(u, v),\] where \(d_G\) is the (possibly weighted) path length .
The barycenter is also called the median . See [West01] , p. 78. Parameters : G networkx.Graph The connected graph \(G\) . weight str , optional Passed through to shortest_path_length() . attr str , optional If given, write the value of the objective function to each node’s attr attribute. Otherwise do not store the value. sp dict of dicts, optional All pairs shortest path lengths as a dictionary of dictionaries Returns : list Nodes of G that induce the barycenter of G . Raises : NetworkXNoPath If G is disconnected. G may appear disconnected to barycenter() if sp is given but is missing shortest path
lengths for any pairs. ValueError If sp and weight are both given. See also center periphery Examples >>> G = nx . Graph ([( 1 , 2 ), ( 1 , 3 ), ( 1 , 4 ), ( 3 , 4 ), ( 3 , 5 ), ( 4 , 5 )]) >>> nx . barycenter ( G ) [1, 3, 4]","Calculate barycenter of a connected graph, optionally with edge weights."
bidirectional_shortest_path,networkx.algorithms.shortest_paths.unweighted.bidirectional_shortest_path,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.shortest_paths.unweighted.bidirectional_shortest_path.html,"bidirectional_shortest_path ( G , source , target ) [source] # Returns a list of nodes in a shortest path between source and target. Parameters : G NetworkX graph source node label starting node for path target node label ending node for path Returns : path: list List of nodes in a path from source to target. Raises : NetworkXNoPath If no path exists between source and target. See also shortest_path Notes This algorithm is used by shortest_path(G, source, target). Examples >>> G = nx . Graph () >>> nx . add_path ( G , [ 0 , 1 , 2 , 3 , 0 , 4 , 5 , 6 , 7 , 4 ]) >>> nx . bidirectional_shortest_path ( G , 2 , 6 ) [2, 1, 0, 4, 5, 6] ---- Additional backends implement this function cugraph : GPU-accelerated backend.",Returns a list of nodes in a shortest path between source and target.
generalized_degree,networkx.algorithms.cluster.generalized_degree,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.cluster.generalized_degree.html,"generalized_degree ( G , nodes = None ) [source] # Compute the generalized degree for nodes. For each node, the generalized degree shows how many edges of given
triangle multiplicity the node is connected to. The triangle multiplicity
of an edge is the number of triangles an edge participates in. The
generalized degree of node \(i\) can be written as a vector \(\mathbf{k}_i=(k_i^{(0)}, \dotsc, k_i^{(N-2)})\) where \(k_i^{(j)}\) is the number of edges attached to node \(i\) that
participate in \(j\) triangles. Parameters : G graph nodes container of nodes, optional (default=all nodes in G) Compute the generalized degree for nodes in this container. Returns : out Counter, or dictionary of Counters Generalized degree of specified nodes. The Counter is keyed by edge
triangle multiplicity. Notes Self loops are ignored. In a network of N nodes, the highest triangle multiplicity an edge can have
is N-2. The return value does not include a zero entry if no edges of a
particular triangle multiplicity are present. The number of triangles node \(i\) is attached to can be recovered from
the generalized degree \(\mathbf{k}_i=(k_i^{(0)}, \dotsc,
k_i^{(N-2)})\) by \((k_i^{(1)}+2k_i^{(2)}+\dotsc +(N-2)k_i^{(N-2)})/2\) . References [ 1 ] Networks with arbitrary edge multiplicities by V. Zlatić,
D. Garlaschelli and G. Caldarelli, EPL (Europhysics Letters),
Volume 97, Number 2 (2012). https://iopscience.iop.org/article/10.1209/0295-5075/97/28005 Examples >>> G = nx . complete_graph ( 5 ) >>> print ( nx . generalized_degree ( G , 0 )) Counter({3: 4}) >>> print ( nx . generalized_degree ( G )) {0: Counter({3: 4}), 1: Counter({3: 4}), 2: Counter({3: 4}), 3: Counter({3: 4}), 4: Counter({3: 4})} To recover the number of triangles attached to a node: >>> k1 = nx . generalized_degree ( G , 0 ) >>> sum ([ k * v for k , v in k1 . items ()]) / 2 == nx . triangles ( G , 0 ) True ---- Additional backends implement this function graphblas : OpenMP-enabled sparse linear algebra backend.",Compute the generalized degree for nodes.
reciprocity,networkx.algorithms.reciprocity.reciprocity,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.reciprocity.reciprocity.html,"reciprocity ( G , nodes = None ) [source] # Compute the reciprocity in a directed graph. The reciprocity of a directed graph is defined as the ratio
of the number of edges pointing in both directions to the total
number of edges in the graph.
Formally, \(r = |{(u,v) \in G|(v,u) \in G}| / |{(u,v) \in G}|\) . The reciprocity of a single node u is defined similarly,
it is the ratio of the number of edges in both directions to
the total number of edges attached to node u. Parameters : G graph A networkx directed graph nodes container of nodes, optional (default=whole graph) Compute reciprocity for nodes in this container. Returns : out dictionary Reciprocity keyed by node label. Notes The reciprocity is not defined for isolated nodes.
In such cases this function will return None. Additional backends implement this function cugraph : GPU-accelerated backend. graphblas : OpenMP-enabled sparse linear algebra backend.",Compute the reciprocity in a directed graph.
intersection,networkx.algorithms.operators.binary.intersection,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.operators.binary.intersection.html,"intersection ( G , H ) [source] # Returns a new graph that contains only the nodes and the edges that exist in
both G and H. Parameters : G,H graph A NetworkX graph. G and H can have different node sets but must be both graphs or both multigraphs. Returns : GH A new graph with the same type as G. Raises : NetworkXError If one is a MultiGraph and the other one is a graph. Notes Attributes from the graph, nodes, and edges are not copied to the new
graph.  If you want a new graph of the intersection of G and H
with the attributes (including edge data) from G use remove_nodes_from()
as follows >>> G = nx . path_graph ( 3 ) >>> H = nx . path_graph ( 5 ) >>> R = G . copy () >>> R . remove_nodes_from ( n for n in G if n not in H ) >>> R . remove_edges_from ( e for e in G . edges if e not in H . edges ) Examples >>> G = nx . Graph ([( 0 , 1 ), ( 0 , 2 ), ( 1 , 2 )]) >>> H = nx . Graph ([( 0 , 3 ), ( 1 , 2 ), ( 2 , 3 )]) >>> R = nx . intersection ( G , H ) >>> R . nodes NodeView((0, 1, 2)) >>> R . edges EdgeView([(1, 2)]) ---- Additional backends implement this function graphblas : OpenMP-enabled sparse linear algebra backend.","Returns a new graph that contains only the nodes and the edges that exist in
both G and H."
single_source_shortest_path_length,networkx.algorithms.shortest_paths.unweighted.single_source_shortest_path_length,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.shortest_paths.unweighted.single_source_shortest_path_length.html,"single_source_shortest_path_length ( G , source , cutoff = None ) [source] # Compute the shortest path lengths from source to all reachable nodes in G . Parameters : G NetworkX graph source node Starting node for path cutoff integer, optional Depth to stop the search. Only paths of length <= cutoff are returned. Returns : lengths dict Dict keyed by node to shortest path length to source . See also shortest_path_length Shortest path length with specifiable source, target, and weight. single_source_dijkstra_path_length Shortest weighted path length from source with Dijkstra algorithm. single_source_bellman_ford_path_length Shortest weighted path length from source with Bellman-Ford algorithm. Examples >>> G = nx . path_graph ( 5 ) >>> nx . single_source_shortest_path_length ( G , 0 ) {0: 0, 1: 1, 2: 2, 3: 3, 4: 4} ---- Additional backends implement this function cugraph : GPU-accelerated backend. graphblas : OpenMP-enabled sparse linear algebra backend.",Compute the shortest path lengths from source to all reachable nodes in G .
check_planarity,networkx.algorithms.planarity.check_planarity,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.planarity.check_planarity.html,"check_planarity ( G , counterexample = False ) [source] # Check if a graph is planar and return a counterexample or an embedding. A graph is planar iff it can be drawn in a plane without
any edge intersections. Parameters : G NetworkX graph counterexample bool A Kuratowski subgraph (to proof non planarity) is only returned if set
to true. Returns : (is_planar, certificate) (bool, NetworkX graph) tuple is_planar is true if the graph is planar.
If the graph is planar certificate is a PlanarEmbedding
otherwise it is a Kuratowski subgraph. See also is_planar Check for planarity without creating a PlanarEmbedding or counterexample. Notes A (combinatorial) embedding consists of cyclic orderings of the incident
edges at each vertex. Given such an embedding there are multiple approaches
discussed in literature to drawing the graph (subject to various
constraints, e.g. integer coordinates), see e.g. [2]. The planarity check algorithm and extraction of the combinatorial embedding
is based on the Left-Right Planarity Test [1]. A counterexample is only generated if the corresponding parameter is set,
because the complexity of the counterexample generation is higher. References [ 1 ] Ulrik Brandes:
The Left-Right Planarity Test
2009 http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.217.9208 [ 2 ] Takao Nishizeki, Md Saidur Rahman:
Planar graph drawing
Lecture Notes Series on Computing: Volume 12
2004 Examples >>> G = nx . Graph ([( 0 , 1 ), ( 0 , 2 )]) >>> is_planar , P = nx . check_planarity ( G ) >>> print ( is_planar ) True When G is planar, a PlanarEmbedding instance is returned: >>> P . get_data () {0: [1, 2], 1: [0], 2: [0]}",Check if a graph is planar and return a counterexample or an embedding.
lexicographic_product,networkx.algorithms.operators.product.lexicographic_product,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.operators.product.lexicographic_product.html,"lexicographic_product ( G , H ) [source] # Returns the lexicographic product of G and H. The lexicographical product \(P\) of the graphs \(G\) and \(H\) has a node set
that is the Cartesian product of the node sets, \(V(P)=V(G) \times V(H)\) . \(P\) has an edge \(((u,v), (x,y))\) if and only if \((u,v)\) is an edge in \(G\) or \(u==v\) and \((x,y)\) is an edge in \(H\) . Parameters : G, H: graphs Networkx graphs. Returns : P: NetworkX graph The Cartesian product of G and H. P will be a multi-graph if either G
or H is a multi-graph. Will be a directed if G and H are directed,
and undirected if G and H are undirected. Raises : NetworkXError If G and H are not both directed or both undirected. Notes Node attributes in P are two-tuple of the G and H node attributes.
Missing attributes are assigned None. Examples >>> G = nx . Graph () >>> H = nx . Graph () >>> G . add_node ( 0 , a1 = True ) >>> H . add_node ( ""a"" , a2 = ""Spam"" ) >>> P = nx . lexicographic_product ( G , H ) >>> list ( P ) [(0, 'a')] Edge attributes and edge keys (for multigraphs) are also copied to the
new product graph",Returns the lexicographic product of G and H.
is_eulerian,networkx.algorithms.euler.is_eulerian,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.euler.is_eulerian.html,"is_eulerian ( G ) [source] # Returns True if and only if G is Eulerian. A graph is Eulerian if it has an Eulerian circuit. An Eulerian
circuit is a closed walk that includes each edge of a graph exactly
once. Graphs with isolated vertices (i.e. vertices with zero degree) are not
considered to have Eulerian circuits. Therefore, if the graph is not
connected (or not strongly connected, for directed graphs), this function
returns False. Parameters : G NetworkX graph A graph, either directed or undirected. Examples >>> nx . is_eulerian ( nx . DiGraph ({ 0 : [ 3 ], 1 : [ 2 ], 2 : [ 3 ], 3 : [ 0 , 1 ]})) True >>> nx . is_eulerian ( nx . complete_graph ( 5 )) True >>> nx . is_eulerian ( nx . petersen_graph ()) False If you prefer to allow graphs with isolated vertices to have Eulerian circuits,
you can first remove such vertices and then call is_eulerian as below example shows. >>> G = nx . Graph ([( 0 , 1 ), ( 1 , 2 ), ( 0 , 2 )]) >>> G . add_node ( 3 ) >>> nx . is_eulerian ( G ) False >>> G . remove_nodes_from ( list ( nx . isolates ( G ))) >>> nx . is_eulerian ( G ) True",Returns True if and only if G is Eulerian.
is_perfect_matching,networkx.algorithms.matching.is_perfect_matching,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.matching.is_perfect_matching.html,"is_perfect_matching ( G , matching ) [source] # Return True if matching is a perfect matching for G A perfect matching in a graph is a matching in which exactly one edge
is incident upon each vertex. Parameters : G NetworkX graph matching dict or set A dictionary or set representing a matching. If a dictionary, it
must have matching[u] == v and matching[v] == u for each
edge (u, v) in the matching. If a set, it must have elements
of the form (u, v) , where (u, v) is an edge in the
matching. Returns : bool Whether the given set or dictionary represents a valid perfect
matching in the graph. Examples >>> G = nx . Graph ([( 1 , 2 ), ( 1 , 3 ), ( 2 , 3 ), ( 2 , 4 ), ( 3 , 5 ), ( 4 , 5 ), ( 4 , 6 )]) >>> my_match = { 1 : 2 , 3 : 5 , 4 : 6 } >>> nx . is_perfect_matching ( G , my_match ) True",Return True if matching is a perfect matching for G
is_distance_regular,networkx.algorithms.distance_regular.is_distance_regular,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.distance_regular.is_distance_regular.html,"is_distance_regular ( G ) [source] # Returns True if the graph is distance regular, False otherwise. A connected graph G is distance-regular if for any nodes x,y
and any integers i,j=0,1,…,d (where d is the graph
diameter), the number of vertices at distance i from x and
distance j from y depends only on i,j and the graph distance
between x and y, independently of the choice of x and y. Parameters : G: Networkx graph (undirected) Returns : bool True if the graph is Distance Regular, False otherwise See also intersection_array , global_parameters Notes For undirected and simple graphs only References [ 1 ] Brouwer, A. E.; Cohen, A. M.; and Neumaier, A.
Distance-Regular Graphs. New York: Springer-Verlag, 1989. [ 2 ] Weisstein, Eric W. “Distance-Regular Graph.” http://mathworld.wolfram.com/Distance-RegularGraph.html Examples >>> G = nx . hypercube_graph ( 6 ) >>> nx . is_distance_regular ( G ) True","Returns True if the graph is distance regular, False otherwise."
power,networkx.algorithms.operators.product.power,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.operators.product.power.html,"power ( G , k ) [source] # Returns the specified power of a graph. The \(k`th power of a simple graph :math:`G\) , denoted \(G^k\) , is a
graph on the same set of nodes in which two distinct nodes \(u\) and \(v\) are adjacent in \(G^k\) if and only if the shortest path
distance between \(u\) and \(v\) in \(G\) is at most \(k\) . Parameters : G graph A NetworkX simple graph object. k positive integer The power to which to raise the graph G . Returns : NetworkX simple graph G to the power k . Raises : ValueError If the exponent k is not positive. NetworkXNotImplemented If G is not a simple graph. Notes This definition of “power graph” comes from Exercise 3.1.6 of Graph Theory by Bondy and Murty [1] . References [ 1 ] Bondy, U. S. R. Murty, Graph Theory . Springer, 2008. Examples The number of edges will never decrease when taking successive
powers: >>> G = nx . path_graph ( 4 ) >>> list ( nx . power ( G , 2 ) . edges ) [(0, 1), (0, 2), (1, 2), (1, 3), (2, 3)] >>> list ( nx . power ( G , 3 ) . edges ) [(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 3)] The k th power of a cycle graph on n nodes is the complete graph
on n nodes, if k is at least n // 2 : >>> G = nx . cycle_graph ( 5 ) >>> H = nx . complete_graph ( 5 ) >>> nx . is_isomorphic ( nx . power ( G , 2 ), H ) True >>> G = nx . cycle_graph ( 8 ) >>> H = nx . complete_graph ( 8 ) >>> nx . is_isomorphic ( nx . power ( G , 4 ), H ) True",Returns the specified power of a graph.
maximal_matching,networkx.algorithms.matching.maximal_matching,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.matching.maximal_matching.html,"maximal_matching ( G ) [source] # Find a maximal matching in the graph. A matching is a subset of edges in which no node occurs more than once.
A maximal matching cannot add more edges and still be a matching. Parameters : G NetworkX graph Undirected graph Returns : matching set A maximal matching of the graph. Notes The algorithm greedily selects a maximal matching M of the graph G
(i.e. no superset of M exists). It runs in \(O(|E|)\) time. Examples >>> G = nx . Graph ([( 1 , 2 ), ( 1 , 3 ), ( 2 , 3 ), ( 2 , 4 ), ( 3 , 5 ), ( 4 , 5 )]) >>> sorted ( nx . maximal_matching ( G )) [(1, 2), (3, 5)]",Find a maximal matching in the graph.
moral_graph,networkx.algorithms.moral.moral_graph,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.moral.moral_graph.html,"moral_graph ( G ) [source] # Return the Moral Graph Returns the moralized graph of a given directed graph. Parameters : G NetworkX graph Directed graph Returns : H NetworkX graph The undirected moralized graph of G Raises : NetworkXNotImplemented If G is undirected. Notes A moral graph is an undirected graph H = (V, E) generated from a
directed Graph, where if a node has more than one parent node, edges
between these parent nodes are inserted and all directed edges become
undirected. https://en.wikipedia.org/wiki/Moral_graph References [ 1 ] Wray L. Buntine. 1995. Chain graphs for learning.
In Proceedings of the Eleventh conference on Uncertainty
in artificial intelligence (UAI’95) Examples >>> G = nx . DiGraph ([( 1 , 2 ), ( 2 , 3 ), ( 2 , 5 ), ( 3 , 4 ), ( 4 , 3 )]) >>> G_moral = nx . moral_graph ( G ) >>> G_moral . edges () EdgeView([(1, 2), (2, 3), (2, 5), (2, 4), (3, 4)])",Return the Moral Graph
single_target_shortest_path,networkx.algorithms.shortest_paths.unweighted.single_target_shortest_path,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.shortest_paths.unweighted.single_target_shortest_path.html,"single_target_shortest_path ( G , target , cutoff = None ) [source] # Compute shortest path to target from all nodes that reach target. Parameters : G NetworkX graph target node label Target node for path cutoff integer, optional Depth to stop the search. Only paths of length <= cutoff are returned. Returns : paths dictionary Dictionary, keyed by target, of shortest paths. See also shortest_path , single_source_shortest_path Notes The shortest path is not necessarily unique. So there can be multiple
paths between the source and each target node, all of which have the
same ‘shortest’ length. For each target node, this function returns
only one of those paths. Examples >>> G = nx . path_graph ( 5 , create_using = nx . DiGraph ()) >>> path = nx . single_target_shortest_path ( G , 4 ) >>> path [ 0 ] [0, 1, 2, 3, 4] ---- Additional backends implement this function cugraph : GPU-accelerated backend.",Compute shortest path to target from all nodes that reach target.
single_source_shortest_path,networkx.algorithms.shortest_paths.unweighted.single_source_shortest_path,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.shortest_paths.unweighted.single_source_shortest_path.html,"single_source_shortest_path ( G , source , cutoff = None ) [source] # Compute shortest path between source
and all other nodes reachable from source. Parameters : G NetworkX graph source node label Starting node for path cutoff integer, optional Depth to stop the search. Only paths of length <= cutoff are returned. Returns : paths dictionary Dictionary, keyed by target, of shortest paths. See also shortest_path Notes The shortest path is not necessarily unique. So there can be multiple
paths between the source and each target node, all of which have the
same ‘shortest’ length. For each target node, this function returns
only one of those paths. Examples >>> G = nx . path_graph ( 5 ) >>> path = nx . single_source_shortest_path ( G , 0 ) >>> path [ 4 ] [0, 1, 2, 3, 4] ---- Additional backends implement this function cugraph : GPU-accelerated backend.","Compute shortest path between source
and all other nodes reachable from source."
wiener_index,networkx.algorithms.wiener.wiener_index,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.wiener.wiener_index.html,"wiener_index ( G , weight = None ) [source] # Returns the Wiener index of the given graph. The Wiener index of a graph is the sum of the shortest-path
(weighted) distances between each pair of reachable nodes.
For pairs of nodes in undirected graphs, only one orientation
of the pair is counted. Parameters : G NetworkX graph weight string or None, optional (default: None) If None, every edge has weight 1.
If a string, use this edge attribute as the edge weight.
Any edge attribute not present defaults to 1.
The edge weights are used to computing shortest-path distances. Returns : number The Wiener index of the graph G . Raises : NetworkXError If the graph G is not connected. Notes If a pair of nodes is not reachable, the distance is assumed to be
infinity. This means that for graphs that are not
strongly-connected, this function returns inf . The Wiener index is not usually defined for directed graphs, however
this function uses the natural generalization of the Wiener index to
directed graphs. References [ 1 ] Wikipedia: Wiener Index Examples The Wiener index of the (unweighted) complete graph on n nodes
equals the number of pairs of the n nodes, since each pair of
nodes is at distance one: >>> n = 10 >>> G = nx . complete_graph ( n ) >>> nx . wiener_index ( G ) == n * ( n - 1 ) / 2 True Graphs that are not strongly-connected have infinite Wiener index: >>> G = nx . empty_graph ( 2 ) >>> nx . wiener_index ( G ) inf",Returns the Wiener index of the given graph.
complete_to_chordal_graph,networkx.algorithms.chordal.complete_to_chordal_graph,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.chordal.complete_to_chordal_graph.html,"complete_to_chordal_graph ( G ) [source] # Return a copy of G completed to a chordal graph Adds edges to a copy of G to create a chordal graph. A graph G=(V,E) is
called chordal if for each cycle with length bigger than 3, there exist
two non-adjacent nodes connected by an edge (called a chord). Parameters : G NetworkX graph Undirected graph Returns : H NetworkX graph The chordal enhancement of G alpha Dictionary The elimination ordering of nodes of G Notes There are different approaches to calculate the chordal
enhancement of a graph. The algorithm used here is called
MCS-M and gives at least minimal (local) triangulation of graph. Note
that this triangulation is not necessarily a global minimum. https://en.wikipedia.org/wiki/Chordal_graph References [ 1 ] Berry, Anne & Blair, Jean & Heggernes, Pinar & Peyton, Barry. (2004)
Maximum Cardinality Search for Computing Minimal Triangulations of
Graphs.  Algorithmica. 39. 287-298. 10.1007/s00453-004-1084-3. Examples >>> from networkx.algorithms.chordal import complete_to_chordal_graph >>> G = nx . wheel_graph ( 10 ) >>> H , alpha = complete_to_chordal_graph ( G )",Return a copy of G completed to a chordal graph
stoer_wagner,networkx.algorithms.connectivity.stoerwagner.stoer_wagner,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.connectivity.stoerwagner.stoer_wagner.html,"stoer_wagner ( G , weight='weight' , heap=<class 'networkx.utils.heaps.BinaryHeap'> ) [source] # Returns the weighted minimum edge cut using the Stoer-Wagner algorithm. Determine the minimum edge cut of a connected graph using the
Stoer-Wagner algorithm. In weighted cases, all weights must be
nonnegative. The running time of the algorithm depends on the type of heaps used: Type of heap Running time Binary heap \(O(n (m + n) \log n)\) Fibonacci heap \(O(nm + n^2 \log n)\) Pairing heap \(O(2^{2 \sqrt{\log \log n}} nm + n^2 \log n)\) Parameters : G NetworkX graph Edges of the graph are expected to have an attribute named by the
weight parameter below. If this attribute is not present, the edge is
considered to have unit weight. weight string Name of the weight attribute of the edges. If the attribute is not
present, unit weight is assumed. Default value: ‘weight’. heap class Type of heap to be used in the algorithm. It should be a subclass of MinHeap or implement a compatible interface. If a stock heap implementation is to be used, BinaryHeap is
recommended over PairingHeap for Python implementations without
optimized attribute accesses (e.g., CPython) despite a slower
asymptotic running time. For Python implementations with optimized
attribute accesses (e.g., PyPy), PairingHeap provides better
performance. Default value: BinaryHeap . Returns : cut_value integer or float The sum of weights of edges in a minimum cut. partition pair of node lists A partitioning of the nodes that defines a minimum cut. Raises : NetworkXNotImplemented If the graph is directed or a multigraph. NetworkXError If the graph has less than two nodes, is not connected or has a
negative-weighted edge. Examples >>> G = nx . Graph () >>> G . add_edge ( ""x"" , ""a"" , weight = 3 ) >>> G . add_edge ( ""x"" , ""b"" , weight = 1 ) >>> G . add_edge ( ""a"" , ""c"" , weight = 3 ) >>> G . add_edge ( ""b"" , ""c"" , weight = 5 ) >>> G . add_edge ( ""b"" , ""d"" , weight = 4 ) >>> G . add_edge ( ""d"" , ""e"" , weight = 2 ) >>> G . add_edge ( ""c"" , ""y"" , weight = 2 ) >>> G . add_edge ( ""e"" , ""y"" , weight = 3 ) >>> cut_value , partition = nx . stoer_wagner ( G ) >>> cut_value 4",Returns the weighted minimum edge cut using the Stoer-Wagner algorithm.
vf2pp_isomorphism,networkx.algorithms.isomorphism.vf2pp.vf2pp_isomorphism,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.isomorphism.vf2pp.vf2pp_isomorphism.html,"vf2pp_isomorphism ( G1 , G2 , node_label = None , default_label = None ) [source] # Return an isomorphic mapping between G1 and G2 if it exists. Parameters : G1, G2 NetworkX Graph or MultiGraph instances. The two graphs to check for isomorphism. node_label str, optional The name of the node attribute to be used when comparing nodes.
The default is None , meaning node attributes are not considered
in the comparison. Any node that doesn’t have the node_label attribute uses default_label instead. default_label scalar Default value to use when a node doesn’t have an attribute
named node_label . Default is None . Returns : dict or None Node mapping if the two graphs are isomorphic. None otherwise.",Return an isomorphic mapping between G1 and G2 if it exists.
minimum_cycle_basis,networkx.algorithms.cycles.minimum_cycle_basis,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.cycles.minimum_cycle_basis.html,"minimum_cycle_basis ( G , weight = None ) [source] # Returns a minimum weight cycle basis for G Minimum weight means a cycle basis for which the total weight
(length for unweighted graphs) of all the cycles is minimum. Parameters : G NetworkX Graph weight: string name of the edge attribute to use for edge weights Returns : A list of cycle lists.  Each cycle list is a list of nodes which forms a cycle (loop) in G. Note that the nodes are not necessarily returned in a order by which they appear in the cycle See also simple_cycles , cycle_basis Examples >>> G = nx . Graph () >>> nx . add_cycle ( G , [ 0 , 1 , 2 , 3 ]) >>> nx . add_cycle ( G , [ 0 , 3 , 4 , 5 ]) >>> nx . minimum_cycle_basis ( G ) [[5, 4, 3, 0], [3, 2, 1, 0]] References: [1] Kavitha, Telikepalli, et al. “An O(m^2n) Algorithm for
Minimum Cycle Basis of Graphs.” http://link.springer.com/article/10.1007/s00453-007-9064-z [2] de Pina, J. 1995. Applications of shortest path methods.
Ph.D. thesis, University of Amsterdam, Netherlands",Returns a minimum weight cycle basis for G
